id,answer_text,is_answer_correct,question_id
1,she,true,1
2,he,false,1
3,I,false,1
28,Somebody,true,1
29,Anybody,false,1
4,me,true,2
5,him,false,2
6,her,false,2
30,anyone,false,2
31,something,true,2
7,I, her,true,3
8,me, she,false,3
9,she, I,false,3
10,little,true,4
11,few,false,4
12,a little,false,4
13,few,true,5
14,a few,false,5
15,little,false,5
16,few,true,6
17,little,false,6
18,a few,false,6
19,much,true,7
20,many,false,7
21,much of,false,7
22,much,true,8
23,much of,false,8
24,many,false,8
25,many,true,9
26,many of,false,9
27,much,false,9
